id,price_mln
701,15.34
702,8.52
703,11.38
704,15.24
705,10.21
706,9.24
707,17.82
708,9.7
709,9.62
710,11.92
711,18.36
712,8.06
713,9.11
714,9.94
715,9.98
716,6.84
717,10.89
718,7.21
719,7.91
720,10.23
721,14.99
722,9.49
723,9.99
724,12.96
725,11.31
726,16.41
727,15.52
728,9.9
729,12.03
730,13.34
731,10.37
732,14.69
733,8.04
734,15.21
735,6.93
736,14.36
737,15.5
738,15.56
739,6.35
740,12.6
741,15.59
742,16.04
743,13.46
744,9.02
745,16.47
746,6.3
747,17.08
748,6.7
749,15.65
750,10.74
751,10.74
752,10.06
753,10.72
754,11.06
755,13.61
756,12.6
757,9.15
758,14.1
759,11.6
760,15.1
761,11.93
762,11.05
763,11.18
764,5.85
765,6.74
766,8.91
767,7.51
768,20.59
769,7.6
770,3.89
771,8.49
772,10.83
773,6.5
774,8.07
775,12.38
776,12.16
777,18.44
778,9.37
779,12.83
780,13.96
781,12.61
782,5.82
783,6.92
784,9.64
785,11.93
786,6.94
787,9.49
788,9.04
789,10.11
790,6.72
791,14.18
792,14.3
793,6.92
794,5.13
795,18.87
796,7.05
797,13.63
798,10.92
799,17.35
800,11.2
801,7.14
802,12.22
803,18.88
804,8.2
805,9.14
806,9.67
807,5.16
808,12.96
809,15.47
810,7.11
811,7.73
812,9.92
813,12.75
814,9.23
815,12.54
816,9.4
817,12.24
818,10.87
819,13.55
820,10.77
821,13.24
822,10.3
823,6.91
824,17.5
825,10.2
826,12.03
827,12.94
828,15.95
829,10.59
830,19.43
831,9.8
832,14.23
833,17.75
834,8.46
835,13.66
836,7.72
837,10.24
838,8.76
839,9.0
840,18.98
841,11.3
842,8.57
843,10.79
844,6.68
845,8.22
846,12.34
847,7.66
848,11.68
849,4.73
850,8.02
851,15.83
852,7.11
853,16.24
854,6.68
855,9.09
856,16.06
857,5.71
858,10.56
859,11.18
860,13.84
861,8.78
862,11.65
863,9.39
864,19.75
865,7.72
866,10.48
867,12.2
868,8.65
869,8.45
870,14.07
871,10.35
872,8.82
873,5.2
874,14.15
875,10.35
876,10.62
877,14.34
878,8.07
879,8.41
880,9.85
881,10.72
882,15.0
883,14.54
884,14.47
885,12.27
886,8.22
887,11.29
888,8.84
889,16.86
890,13.47
891,4.95
892,10.35
893,11.07
894,4.41
895,7.86
896,15.54
897,15.41
898,12.71
899,8.44
900,8.04
901,5.2
902,8.9
903,8.08
904,13.34
905,13.16
906,3.74
907,10.0
908,10.02
909,12.78
910,12.65
911,9.81
912,6.09
913,15.34
914,7.6
915,12.4
916,12.95
917,9.73
918,9.09
919,4.69
920,10.26
921,11.48
922,5.74
923,12.03
924,11.38
925,10.25
926,8.15
927,8.65
928,9.47
929,11.07
930,12.36
931,5.74
932,8.83
933,12.43
934,12.08
935,11.43
936,7.66
937,12.54
938,15.84
939,10.81
940,3.8
941,9.87
942,7.04
943,15.85
944,16.69
945,6.45
946,10.54
947,13.39
948,10.82
949,6.77
950,7.58
951,7.04
952,17.32
953,17.1
954,10.71
955,7.79
956,9.1
957,10.8
958,10.4
959,12.34
960,12.18
961,7.12
962,11.81
963,14.31
964,11.48
965,8.29
966,7.71
967,8.66
968,15.58
969,10.31
970,11.66
971,11.82
972,13.3
973,9.39
974,7.74
975,11.43
976,18.86
977,8.68
978,2.0
979,16.21
980,13.06
981,10.98
982,9.05
983,18.91
984,13.33
985,10.15
986,9.46
987,9.77
988,4.88
989,9.78
990,9.31
991,16.1
992,8.67
993,11.35
994,3.21
995,12.66
996,10.96
997,10.5
998,5.53
999,7.99
1000,9.09
